disease_name,icd11_code
Pruritus,EC90
Progressive familial intrahepatic cholestasis,5C58.03
Alagille syndrome,LB20.0Y
Coronavirus Disease 2019 (COVID-19),1D6Y
Primary hyperoxaluria type 1,5C51.20
Hyperoxaluria,5C51.2
Reversal of anticoagulation,N.A.
Bacterial vaginosis,MF3A
Hereditary amyloidosis,5D00.2
Transthyretin familial amyloid cardiomyopathy,5D00.20
Multiple myeloma,2A83
Non-hodgkin lymphoma,2B33.5
Chronic lymphocytic leukaemia,2A82.0
Small lymphocytic lymphoma,2A82.0
Multi-drug resistant tuberculosis,MG52.00
Meningococcal disease,1C1C
Glycogen storage disease type II,5C51.3
Nasopharyngeal cancer,2B6B
Hot flushes,GA30
Non-small-cell lung cancer,2C25
Non-small-cell lung cancer,2C25.Y
Thrombotic thrombocytopenic purpura,3B64.14
Complex partial seizure,8A68.0
Vaso-occlusive crisis,BE2Y
Sickle-cell disorder,3A51
Diagnostic imaging,N.A.
Chronic myeloid leukaemia,2A20
Dry eye disease,9E1Z
Ebola virus infection,1D60.0
Urinary tract infection,GC08
Metachromatic leukodystrophy,5C56.02
Hereditary angioedema,4A00.14
Pertussis,1C12
Tetanus,1C13
Diphtheria,1C17
Poliomyelitis,1C81
Hepatitis B,1E51
Influenza virus infection,1E30-1E32
Hepatitis B virus infection,1E51.0
Spinal muscular atrophy,8B61
Urothelial carcinoma,2C92.0
Lower respiratory tract infection,CA45
Respiratory syncytial virus infection,1C80
Haemophilia A,3B10.0
Severe asthma,CA23
Vulvovaginal Candidiasis,1F23.10
Onychomycosis,EE12.1
Diffuse large B-cell lymphoma,2A81
Follicular lymphoma,2A80
Paroxysmal nocturnal haemoglobinuria,3A21.0
IgA nephropathy,MF8Y
Cold type autoimmune haemolytic anemia,3A20.1
Liver cancer,2C12
Prostate cancer,2C82.0
Endometrial cancer,2C76
Neoplasm,2A00-2F9Z
Breast cancer,2C60-2C65
Stomach cancer,2B72
Sjogren syndrome,4A43.20
Insomnia,7A00-7A0Z
Hodgkin lymphoma,2B30
Acute intermittent hepatic porphyria,5C58.11
Shingles,1E91
Hypoglycemia,5A41
Hyperinsulinemia,5A4Y
Amyloid polyneuropathy,5D00.20
Extranodal NK/T-cell Lymphoma,2A90.6
Meningococcal infection,1C1C
Bladder cancer,2C94
Type 2 diabetes,5A11
Diabetic macular edema,9B71.02
Neovascular age-related macular degeneration,9B78.3Z
Emphysema,CA21
Alpha-mannosidosis,5C56.21
Growth hormone deficiency,5A61.3
Melanoma,2C30
Esophageal squamous cell carcinoma,2E60.1
Glabellar frown line,NA0Z
Epidermolysis bullosa,EC3Z
Heterozygous familial hypercholesterolemia,5C80.00
Homozygous familial hypercholesterolemia,5C80.00
Geographic atrophy,9B75
Pompe disease,5C51.3
Head and body lice,1G00.0
Wet age-related macular degeneration,9B78.3Z
Von willebrand disease,3B12
Large B Cell Lymphoma,2A81
Respiratory tract infection,CA45
Narcolepsy,7A20
Hepatocellular carcinoma,2C12.02
Multiple sclerosis,8A40
Crohn disease,DD70
Hepatitis D virus infection,1E51.2
Human immunodeficiency virus-1 infection,1C62
Human immunodeficiency virus infection,1C62
Schizophrenia,6A20
Mantle cell lymphoma,2A85.5
Common cold,CA00
Cough,MD12
Bacterial infection,1A00-1C4Z
Depression,6A70-6A7Z
Radioactive tracer,N.A.
Human papillomavirus infection,1A9Y
Ulcer,CA02-CB40
Gastritis,DA42
Varicella zoster virus infection,1E91
Anxiety disorder,6B00-6B0Z
Allergic rhinitis,CA08.0
Diabetic complication,5A2Y
Solid tumour/cancer,2A00-2F9Z
Spasm,MB47.3
Rheumatoid arthritis,FA20
Virus infection,1A24-1D9Z
Sterilant,N.A.
Erectile dysfunction,HA01.1
Hypertension,BA00-BA04
Herpes simplex virus infection,1F00
Migraine,8A80
Peripheral vascular disease,BD4Z
Hemangioma,2E81-2F2Y
