ttd_drug_id,trade_name,company,therapeutic_class,drug_type,highest_status
D00UZR,Ibrance,Onyx Pharmaceuticals; Pfizer,Anticancer Agents,Small molecular drug,Approved
D07NVU,Rydapt,Novartis,Anticancer Agents,Small molecular drug,Approved
D0DN0W,Zejula,Tesaro,Antihypertensive Agents,Small molecular drug,Approved
D0IA9Y,Zavzpret,Pfizer,Antiviral Agents,Small molecular drug,Approved
D0K0MW,Lucemyra,US WorldMeds,Antihypertensive Agents,Small molecular drug,Approved
D0U5QK,Aceta (TN); Actimin (TN); Anacin-3; Apacet (TN); Atasol (TN); Banesin (TN); Bickie-mol; Crocin (TN); Dapa (TN); DayQuil (TN); Depon (TN); Dolo (TN); Eu-Med; Febro-Gesic; Feverall (TN); Few Drops (TN); Fibi (TN); Fibi plus (TN); Genapap (TN); Genebs (TN); Geralgine-P; Lekadol (TN); Liquiprin (TN); Lupocet (TN); Maximum (TN); Neo-Fepramol; Neopap (TN); Oraphen-PD; Panado-Co; Panadol (TN); Papa-Deine; Para-Suppo; Paralen (TN); Pe-Tam; Percocet-5; Phenaphen (TN); Plicet (TN); Pyregesic-C; Redutemp (TN); Snaplets-FR; Suppap (TN); Supramol-M; Tamen (TN); Tapanol (TN); Tempra (TN); Tylenol (TN); Valorin (TN); Xcel (TN); Anacin-3 (TN); Datril Extra-Strength (TN); Ny-Quil (TN); Oraphen-PD (TN); Snaplets-FR (TN),Beximco Pharma,Analgesics,Small molecular drug,Approved
D00AOJ,,Avanir Pharmaceuticals,Antiviral Agents,Small molecular drug,Approved
D00AWT,,Sanofi-Aventis,Antipsychotic Agents,Small molecular drug,Approved
D00AXJ,,Janssen Pharmaceutica,Antifungal Agents,Small molecular drug,Approved
D00BCG,,Zeneca Pharmaceuticals,Anticancer Agents,Small molecular drug,Approved
D00CTS,,Takeda,Anticonstipation Agents,Small molecular drug,Approved
D00DKK,,Roche Pharmaceuticals,Antiacne Agents,Small molecular drug,Approved
D00EEL,,Merck & Co,Hypnotics and Sedatives,Small molecular drug,Approved
D00FGR,,Aeterna Zentaris,Antifungal Agents,Small molecular drug,Approved
D00FGV,,McNeil Laboratories,Antihistamines,Small molecular drug,Approved
D00GPQ,Ogsiveo,Springworks,,Small molecular drug,Approved
D00HCQ,,Roche,Anticancer Agents,Small molecular drug,Approved
D00HDU,,Ucb Inc,Antihypertensive Agents,Small molecular drug,Approved
D00HPK,,Merz Pharmaceuticals Llc,Antifungal Agents,Small molecular drug,Approved
D00HZV,,Odyssey Pharmaceuticals Inc,Antidepressants,Small molecular drug,Approved
D00IBN,,Pfizer Pharmaceuticals,Analgesics,Small molecular drug,Approved
D00IUG,,Allergan Pharmaceuticals,Sympatholytics,Small molecular drug,Approved
D00JAU,,Bristol-Myers Squibb,Antihypertensive Agents,Small molecular drug,Approved
D00JVR,,Meda Pharmaceuticals Inc,Antiallergic Agents,Small molecular drug,Approved
D00KHM,,Janssen Pharmaceutica,Antipsychotic Agents,Small molecular drug,Approved
D00KVO,,GlaxoSmithKline,Antiprotozoal Agents,Small molecular drug,Approved
D00MDP,,Pfizer,Anticancer Agents,Small molecular drug,Approved
D00MYQ,,Teva Womens Health Inc,Antidepressants,Small molecular drug,Approved
D00MYT,,Abbott Laboratories,Hypnotics and Sedatives,Small molecular drug,Approved
D00NAX,,Wyeth Pharmaceuticals,Antipsychotic Agents,Small molecular drug,Approved
D00NPP,,GlaxoSmithKline,Antiviral Agents,Small molecular drug,Approved
D00QET,,Schering-Plough Corporation,Antiasthmatic Agents,Small molecular drug,Approved
D00RJJ,,Organon International,Abortifacient Agents,Small molecular drug,Approved
D00RWW,Fexinidazole,Sanofi/DNDi,,Small molecular drug,Approved
D00SEB,,Merck & Co,Antihypertensive Agents,Small molecular drug,Approved
D00SJE,,Eli Lilly,Hypnotics and Sedatives,Small molecular drug,Approved
D00STL,,Novartis AG,Anticancer Agents,Small molecular drug,Approved
D00TLN,,Merck & Co,Antihistamines,Small molecular drug,Approved
D00TLP,,Johnson & Johnson,Antiinfective Agents,Small molecular drug,Approved
D00USF,,Angelini research laboratories,Antidepressants,Small molecular drug,Approved
D00UYE,,Apotex Inc,Anesthetics,Small molecular drug,Approved
D00YLW,,Aventis Pharmaceuticals Inc.,Antiemetics,Small molecular drug,Approved
D00YVF,,Eli Lilly,Hypoglycemic Agents,Small molecular drug,Approved
D00YWP,,Aspen Global Inc,Anabolic Agents,Small molecular drug,Approved
D00ZCN,,Merck & Co,Antifungal Agents,Small molecular drug,Approved
D01AHO,,Speciality European Pharma,Anticancer Agents,Small molecular drug,Approved
D01AJY,,Norvatis Phamaceuticals Corporation,Muscle Relaxants,Small molecular drug,Approved
D01AXB,,Eli Lilly,Antidepressants,Small molecular drug,Approved
D01AYJ,,Celtic Pharma,Antifungal Agents,Small molecular drug,Approved
D01AZG,,Janssen-Cilag,Antipsychotic Agents,Small molecular drug,Approved
D01BQC,,Glaxosmithkline,Antibiotics,Small molecular drug,Approved
D01FGR,,Johnson & Johnson,Antiallergic Agents,Small molecular drug,Approved
D01GBY,,Schering-Plough,Antiallergic Agents,Small molecular drug,Approved
D01GUS,,Dong-A Pharmaceutical,Vasodilator Agents,Small molecular drug,Approved
D01HTL,,GlaxoSmithKline,Anticancer Agents,Small molecular drug,Approved
D01HVT,Kisqali,Novartis,,Small molecular drug,Approved
D01JFT,,Allergan Pharmaceutical,Ophthalmologicals,Small molecular drug,Approved
D01JUF,,Bedford Laboratories,Antihypertensive Agents,Small molecular drug,Approved
D01KHH,,Janssen Research And Development Llc,Antidepressants,Small molecular drug,Approved
D01KKQ,,AstraZeneca,Anticancer Agents,Small molecular drug,Approved
D01KPV,,Sanofi-Aventis,Antiallergic Agents,Small molecular drug,Approved
D01KQA,,Endo Pharmaceuticals,Analgesics,Small molecular drug,Approved
D01MDT,,Elan Pharmaceuticals,Analgesics,Small molecular drug,Approved
D01MUR,,Alcon Laboratories,Antiglaucomic Agents,Small molecular drug,Approved
D01NLB,,Neurox/Parke Davis,Analgesics,Small molecular drug,Approved
D01OUE,,Eli Lilly And Co,Antihistamines,Small molecular drug,Approved
D01PLN,,Eli Lilly,Antibiotics,Small molecular drug,Approved
D01QIN,,Pfizer Pharmaceuticals,Anticholesteremic Agents,Small molecular drug,Approved
D01QML,,Wyeth Ayerst Laboratories,Antipsychotic Agents,Small molecular drug,Approved
D01QUS,,LEO Pharma Inc,Antipsoriatic Agents,Small molecular drug,Approved
D01STB,,Sanofi-Aventis,Antihypertensive Agents,Small molecular drug,Approved
D01TSI,,Eli Lilly,Analgesics,Small molecular drug,Approved
D01UTL,,Sanofi Aventis Us Llc,Antidepressants,Small molecular drug,Approved
D01XDL,,Ben Venue Laboratories,Anticancer Agents,Small molecular drug,Approved
D01XLM,,Glaxosmithkline,Antinematodal Agents,Small molecular drug,Approved
D01XNB,,AstraZeneca,Antiulcer Agents,Small molecular drug,Approved
D01XYJ,,GlaxoSmithKline,Anti-HIV Agents,Small molecular drug,Approved
D01ZAQ,Truqap,AstraZeneca,,Small molecular drug,Approved
D01ZII,,GlaxoSmithKline,Antipsychotic Agents,Small molecular drug,Approved
D01ZJK,,Celcius Laboratories,Anticoagulants,Small molecular drug,Approved
D01ZRI,,Pfizer,Anticancer Agents,Small molecular drug,Approved
