ttd_drug_id,drug_name,disease_name,icd11_code,clinical_status
DZB84T,Maralixibat,Pruritus,EC90,Approved
DZB84T,Maralixibat,Progressive familial intrahepatic cholestasis,5C58.03,Phase 3
DZB84T,Maralixibat,Alagille syndrome,LB20.0Y,Phase 2
DZA90G,BNT162b2,Coronavirus Disease 2019 (COVID-19),1D6Y,Approved
DZ8DF0,Nedosiran,Primary hyperoxaluria type 1,5C51.20,Approved
DZ8DF0,Nedosiran,Hyperoxaluria,5C51.2,Phase 2
DY49OT,Andexxa,Reversal of anticoagulation,N.A.,Approved
DY38JR,Astodrimer,Bacterial vaginosis,MF3A,Approved
DXRP68,Vutrisiran,Hereditary amyloidosis,5D00.2,Approved
DXRP68,Vutrisiran,Transthyretin familial amyloid cardiomyopathy,5D00.20,Phase 3
DXR1A6,Talquetamab,Multiple myeloma,2A83,Approved
DXP04H,Pirtobrutinib,Non-hodgkin lymphoma,2B33.5,Approved
DXP04H,Pirtobrutinib,Chronic lymphocytic leukaemia,2A82.0,Phase 3
DXP04H,Pirtobrutinib,Small lymphocytic lymphoma,2A82.0,Phase 3
DX7M4S,Perchlozone,Multi-drug resistant tuberculosis,MG52.00,Approved
DX02MF,Menveo,Meningococcal disease,1C1C,Approved
DW7EN6,Cipaglucosidase alfa,Glycogen storage disease type II,5C51.3,Approved in EU
DV87CQ,Lotilaner,Nasopharyngeal cancer,2B6B,Approved
DUS06I,Fezolinetant,Hot flushes,GA30,Approved
DUQV41,Adagrasib,Non-small-cell lung cancer,2C25,Approved
DUQV41,Adagrasib,Non-small-cell lung cancer,2C25.Y,Phase 3
DUCA08,Caplacizumab,Thrombotic thrombocytopenic purpura,3B64.14,Approved
DU8CF6,Cenobamate,Complex partial seizure,8A68.0,Approved
DU47SF,Crizanlizumab,Vaso-occlusive crisis,BE2Y,Approved
DU47SF,Crizanlizumab,Sickle-cell disorder,3A51,Phase 4
DT7SN5,Air polymer-type A,Diagnostic imaging,N.A.,Approved
DSHT18,Asciminib,Chronic myeloid leukaemia,2A20,Approved
DSD9Z8,Perfluorohexyloctane,Dry eye disease,9E1Z,Approved
DRM1X5,Ansuvimab,Ebola virus infection,1D60.0,Approved
DR36YB,Prulifloxacin,Urinary tract infection,GC08,Approved
DQ5X1Z,Amivantamab,Non-small-cell lung cancer,2C25,Approved
DQ5X1Z,Amivantamab,Non-small-cell lung cancer,2C25.Y,Phase 3
DQ4TO3,OTL-200,Metachromatic leukodystrophy,5C56.02,Approved
DQ1S0B,Berotralstat,Hereditary angioedema,4A00.14,Approved
DP4O5R,Infanrix hexa,Pertussis,1C12,Approved in EU
DP4O5R,Infanrix hexa,Tetanus,1C13,Approved in EU
DP4O5R,Infanrix hexa,Diphtheria,1C17,Approved in EU
DP4O5R,Infanrix hexa,Poliomyelitis,1C81,Approved in EU
DP4O5R,Infanrix hexa,Hepatitis B,1E51,Approved in EU
DP3Q0C,Flucelvax Quadrivalent,Influenza virus infection,1E30-1E32,Approved
DP3Q0C,Flucelvax Quadrivalent,Hepatitis B virus infection,1E51.0,Approved
DP07NC,Zolgensma,Spinal muscular atrophy,8B61,Approved
DORB45,Enfortumab,Urothelial carcinoma,2C92.0,Approved
DNF9L1,Fluorodopa F 18,Diagnostic imaging,N.A.,Approved
DNF95E,Nirsevimab,Lower respiratory tract infection,CA45,Approved
DNF95E,Nirsevimab,Respiratory syncytial virus infection,1C80,Phase 2
DMU9P2,Efanesoctocog alfa,Haemophilia A,3B10.0,Approved
DMOF95,Tezepelumab,Severe asthma,CA23,Approved
DM8BN1,Oteseconazole,Vulvovaginal Candidiasis,1F23.10,Approved
DM8BN1,Oteseconazole,Onychomycosis,EE12.1,Phase 2
DKF7G0,Glofitamab,Diffuse large B-cell lymphoma,2A81,Approved
DKF7G0,Glofitamab,Follicular lymphoma,2A80,Phase 1
DJ48HT,Iptacopan,Paroxysmal nocturnal haemoglobinuria,3A21.0,Approved
DJ48HT,Iptacopan,IgA nephropathy,MF8Y,Phase 3
DJ0L4K,Sutimlimab,Cold type autoimmune haemolytic anemia,3A20.1,Approved
DI4HA7,Mobocertinib,Non-small-cell lung cancer,2C25,Approved
DGWE36,90Y-loaded resin microspheres,Liver cancer,2C12,Approved
DGQW52,Lutetium Lu-177 vipivotide tetraxetan,Prostate cancer,2C82.0,Approved
DGQU43,Dostarlimab,Endometrial cancer,2C76,Approved
DGQU43,Dostarlimab,Neoplasm,2A00-2F9Z,Phase 3
DGQU43,Dostarlimab,Multiple myeloma,2A83,Phase 2
DGQU43,Dostarlimab,Breast cancer,2C60-2C65,Phase 2
DGO2C1,Leniolisib,Stomach cancer,2B72,Approved
DGO2C1,Leniolisib,Sjogren syndrome,4A43.20,Phase 2
DG9Y6S,PEGylated antihemophilic factor,Haemophilia A,3B10.0,Approved
DFN1D5,Daridorexant,Insomnia,7A00-7A0Z,Approved
DFLK16,Sintilimab,Hodgkin lymphoma,2B30,Approved
DF36DY,Givosiran,Acute intermittent hepatic porphyria,5C58.11,Approved
DF2C7K,Shingrix,Shingles,1E91,Approved
DEWC27,Odevixibat,Pruritus,EC90,Approved
DEWC27,Odevixibat,Alagille syndrome,LB20.0Y,Phase 3
DE5N3K,Dasiglucagon,Hypoglycemia,5A41,Approved
DE5N3K,Dasiglucagon,Hyperinsulinemia,5A4Y,Phase 2
DE2CW9,Eplontersen,Amyloid polyneuropathy,5D00.20,Approved
DDZ48Y,Sugemalimab,Non-small-cell lung cancer,2C25,Approved in China
DDZ48Y,Sugemalimab,Extranodal NK/T-cell Lymphoma,2A90.6,Phase 3
DD8QK9,Bexsero,Meningococcal infection,1C1C,Approved
DD1GK8,Lumasiran,Hyperoxaluria,5C51.2,Approved
DBG46D,PSMA-11 Ga-68,Diagnostic imaging,N.A.,Approved
DB4M9J,Epcoritamab,Diffuse large B-cell lymphoma,2A81,Approved
DAG87H,Enfortumab vedotin,Urothelial carcinoma,2C92.0,Approved
DAG87H,Enfortumab vedotin,Bladder cancer,2C94,Phase 3
DA69JF,Tirzepatide,Type 2 diabetes,5A11,Approved
D9MWL4,Faricimab,Diabetic macular edema,9B71.02,Approved
D9MWL4,Faricimab,Neovascular age-related macular degeneration,9B78.3Z,Approved
D9EC0G,Zemaira,Emphysema,CA21,Approved
D9E6KQ,Copper dotatate Cu-64,Diagnostic imaging,N.A.,Approved
D98EUL,GSK4182136,Coronavirus Disease 2019 (COVID-19),1D6Y,Approved in EU
D96DLV,Velmanase alfa,Alpha-mannosidosis,5C56.21,Approved
D93JXG,Somatrogon,Growth hormone deficiency,5A61.3,Approved
D92OCI,Toripalimab,Nasopharyngeal cancer,2B6B,Approved in China
D92OCI,Toripalimab,Melanoma,2C30,Approved in China
D92OCI,Toripalimab,Urothelial carcinoma,2C92.0,Approved in China
D92OCI,Toripalimab,Esophageal squamous cell carcinoma,2E60.1,Phase 3
D90GKY,PrabotulinumtoxinA,Glabellar frown line,NA0Z,Approved
D8SU9N,Filsuvez,Epidermolysis bullosa,EC3Z,Approved in EU
D8MNH5,Evolocumab,Heterozygous familial hypercholesterolemia,5C80.00,Approved
D8MNH5,Evolocumab,Homozygous familial hypercholesterolemia,5C80.00,Approved
D8LAE2,Sacituzumab govitecan,Breast cancer,2C60-2C65,Approved
D8LAE2,Sacituzumab govitecan,Urothelial carcinoma,2C92.0,Approved
D8LAE2,Sacituzumab govitecan,Non-small-cell lung cancer,2C25,Phase 3
D8L5PA,Loncastuximab tesirine,Diffuse large B-cell lymphoma,2A81,Approved
D8L5PA,Loncastuximab tesirine,Follicular lymphoma,2A80,Phase 2
D8B9KJ,Jivi,Haemophilia A,3B10.0,Approved
D7S9LP,Somapacitan,Growth hormone deficiency,5A61.3,Approved
D75AZJ,Avacincaptad pegol,Geographic atrophy,9B75,Approved
D71UXY,Comirnaty,Coronavirus Disease 2019 (COVID-19),1D6Y,Approved
D67KYA,Cipaglucosidase alfa,Pompe disease,5C51.3,Approved
D5IS6V,Abametapir,Head and body lice,1G00.0,Approved
D5DO9L,Brolucizumab,Wet age-related macular degeneration,9B78.3Z,Approved
D5DO9L,Brolucizumab,Diabetic macular edema,9B71.02,Phase 3
D52NZX,Belantamab mafodotin,Multiple myeloma,2A83,Approved
D4Y0SB,Vonvendi,Von willebrand disease,3B12,Approved
D4XBR9,Pozelimab,Large B Cell Lymphoma,2A81,Approved
D4XBR9,Pozelimab,Paroxysmal nocturnal haemoglobinuria,3A21.0,Phase 2
D4LOR2,Tebipenem pivoxil,Respiratory tract infection,CA45,Approved
D40IXR,Sodium oxybate,Narcolepsy,7A20,Approved
D3UG0T,90Y-loaded glass microspheres,Hepatocellular carcinoma,2C12.02,Approved
D3LWJ7,Natalizumab,Multiple sclerosis,8A40,Approved
D3LWJ7,Natalizumab,Crohn disease,DD70,Approved
D3KO5Y,Elranatamab,Multiple myeloma,2A83,Approved
D34SXJ,Avalglucosidase alfa,Pompe disease,5C51.3,Approved
D2HDB8,Mosunetuzumab,Follicular lymphoma,2A80,Approved
D2G4HB,Bulevirtide,Hepatitis D virus infection,1E51.2,Approved
D24GYL,Lenacapavir,Human immunodeficiency virus-1 infection,1C62,Approved
D24GYL,Lenacapavir,Human immunodeficiency virus infection,1C62,Phase 2/3
D1HEN2,Ga-68-DOTATOC,Diagnostic imaging,N.A.,Approved
D1CWL0,lumateperone tosylate,Schizophrenia,6A20,Approved
D18SHN,Tecartus,Mantle cell lymphoma,2A85.5,Approved
D13YOP,TRN-124,Common cold,CA00,Approved
D13YOP,TRN-124,Cough,MD12,Approved
D0ZX2G,Hexachlorophene,Bacterial infection,1A00-1C4Z,Approved
D0ZX1P,FADROZOLE,Breast cancer,2C60-2C65,Approved
D0ZV0Z,Moxifloxacin,Bacterial infection,1A00-1C4Z,Approved
D0ZU9R,Ritonavir,Human immunodeficiency virus infection,1C62,Approved
D0ZS8P,Clomipramine,Depression,6A70-6A7Z,Approved
D0ZS6R,Technetium Tc-99m Apcitide,Radioactive tracer,N.A.,Approved
D0ZK8H,Gardasil,Human papillomavirus infection,1A9Y,Approved
D0ZJ1C,(S)-(+)-Dimethindene maleate,Pruritus,EC90,Approved
D0ZI4H,Ornoprostil,Ulcer,CA02-CB40,Approved
D0ZI4H,Ornoprostil,Gastritis,DA42,Approved
D0ZB7K,Zopiclone,Insomnia,7A00-7A0Z,Approved
D0ZA4G,Varicella-zoster immune globulin,Varicella zoster virus infection,1E91,Approved
D0Z9VB,Halazepam,Anxiety disorder,6B00-6B0Z,Approved
D0Z9QR,Zalcitabine,Human immunodeficiency virus infection,1C62,Approved
D0Z9PX,Isopropamide iodide,Allergic rhinitis,CA08.0,Approved
D0Z9NZ,Glutethimide,Insomnia,7A00-7A0Z,Approved
D0Z9EO,Metreleptin,Diabetic complication,5A2Y,Approved
D0Z8SF,Sarkomycin,Solid tumour/cancer,2A00-2F9Z,Approved
D0Z8HG,Vecuronium,Spasm,MB47.3,Approved
D0Z8EX,Stavudine,Human immunodeficiency virus infection,1C62,Approved
D0Z8CQ,Sarilumab,Rheumatoid arthritis,FA20,Approved
D0Z8AE,Chromic Chloride,Virus infection,1A24-1D9Z,Approved
D0Z8AA,Propiolactone,Sterilant,N.A.,Approved
D0Z7ZM,Rhucin,Hereditary angioedema,4A00.14,Approved
D0Z7ZM,Rhucin,Erectile dysfunction,HA01.1,Approved
D0Z7KE,Isradipine,Hypertension,BA00-BA04,Approved
D0Z7KE,Isradipine,Herpes simplex virus infection,1F00,Phase 3
D0Z6UC,Sumatriptan,Migraine,8A80,Approved
D0Z6ST,Buflomedil,Peripheral vascular disease,BD4Z,Approved
D0Z6QG,Pipotiazine,Schizophrenia,6A20,Approved
D0Z6BF,Grastek,Allergic rhinitis,CA08.0,Approved
D0Z5SM,Sodium Tetradecyl Sulfate,Hemangioma,2E81-2F2Y,Approved
D0Z5SM,Sodium Tetradecyl Sulfate,Varicose and spider veins of leg,BD74.1,Approved
D0Z5QI,Fentanyl/droperidol,Anaesthesia,9A78.6,Approved
D0Z5OV,Delorazepam,Anxiety disorder,6B00-6B0Z,Approved
D0Z5OE,Mitotane,Adrenocortical carcinoma,2D11.Z,Approved
D0Z5IU,Sulindac,Rheumatoid arthritis,FA20,Approved
D0Z5IP,Ixiaro,Japanese encephalitis virus infection,1C85,Approved
D0Z5EM,Cephalexin,Bacterial infection,1A00-1C4Z,Approved
D0Z5BC,Undecylenic acid,Dermatitis,EA80-EA89,Approved
D0Z4ZT,Drospirenone,Contraception,QA21,Approved
D0Z4XW,Topetecan,Small-cell lung cancer,2C25.Y,Approved
D0Z4UY,Sodium Acetate Anhydrous,Hyponatraemia,5C72,Approved
D0Z4UN,Pimecrolimus,Atopic dermatitis,EA80,Approved
D0Z4SB,Glipizide,Diabetic complication,5A2Y,Approved
D0Z4PE,Zinostatin stimalamer,Brain cancer,2A00,Approved
D0Z4NI,Zinc Acetate,Wilson disease,5C64.00,Approved
D0Z4NI,Zinc Acetate,Human immunodeficiency virus infection,1C62,Investigative
D0Z4EI,Mifepristone,Cushing disease,5A70,Approved
D0Z4BV,Oxiracetam,Dementia,6D80-6D86,Approved
D0Z4BH,Celtura,Influenza virus infection,1E30-1E32,Approved
D0Z3FV,MPL-containing Pollinex allergy desensitization vaccine,Allergy,4A80-4A85,Approved
D0Z3EI,Quinolones,Bacterial infection,1A00-1C4Z,Approved
D0Z3EI,Quinolones,Tuberculosis,1B10-1B1Z,Approved
D0Z3DY,Benzbromarone,Gout,FA25,Approved
D0Z2YQ,Patiromer calcium,Hyperkalemia,5C76,Approved
D0Z2RA,Cantharidin,Molluscum contagiosum infection,1E76,Approved
D0Z2LG,Sennoside a,Cardiovascular disease,BA00-BE2Z,Approved
D0Z2CM,Lutropin alfa,Female infertility,GA31.Z,Approved
D0Z1ZM,Clarithromycin,Bacterial infection,1A00-1C4Z,Approved
D0Z1XD,Methyltestosterone,Solid tumour/cancer,2A00-2F9Z,Approved
D0Z1WA,Procaterol,Asthma,CA23,Approved
D0Z1UA,Nebivolol,Hypertension,BA00-BA04,Approved
D0Z1RV,Clozapine,Schizophrenia,6A20,Approved
D0Z1QC,Monoctanoin,Gallstone,DC11.3,Approved
D0Z1KC,Interferon gamma,Inflammation,1A00-CA43.1,Approved
D0Z1FX,Estriol,Hormone deficiency,5A61.1,Approved
D0Z1FX,Estriol,Multiple sclerosis,8A40,Phase 2
D0Z0MG,Carglumic acid,Acute hyperammonaemia,5C50.A,Approved
D0Z0DW,Folic Acid,Folate-deficiency anemia,3A02.Y,Approved
D0Z0DW,Folic Acid,Vitamin deficiency,5B55-5B71,Approved
D0YX4S,Cefprozil,Bacterial infection,1A00-1C4Z,Approved
D0YX3D,Olipudase alfa,Gaucher disease,5C56.0Y,Approved
D0YX3D,Olipudase alfa,Sphingolipidosis,5C56.0,Phase 2
D0YV4F,Ocrelizumab,Diffuse large B-cell lymphoma,2A81,Approved
D0YV4F,Ocrelizumab,Multiple sclerosis,8A40,Approved
D0YV1Q,Kanamycin,Bacterial infection,1A00-1C4Z,Approved
D0YS7D,Isosorbide Mononitrate,Hydrocephalus,8D64,Approved
D0YS1U,Sparsentan,IgA nephropathy,MF8Y,Approved
D0YS1U,Sparsentan,Focal segmental glomerulosclerosis,MF8Y,Phase 3
D0YS1U,Sparsentan,Hypertension,BA00-BA04,Phase 2
D0YS1U,Sparsentan,Myocardial infarction,BA41-BA43,Phase 2
D0YQ0V,Cefpirome sulfate,Bacterial infection,1A00-1C4Z,Approved
D0YP7B,Setmelanotide,Obesity,5B81,Approved
D0YP7B,Setmelanotide,Bardet biedl syndrome,5A61.0,Phase 3
D0YP7B,Setmelanotide,Prader-Willi syndrome,LD90.3,Phase 2
